Generation,Avg Fitness,Best Fitness
1,96.49999999999999,517.6666666666666
2,358.96999999999997,1235.8666666666668
3,4037.0500000000015,72937.90000000002
4,18439.716666666667,120300.16666666667
5,28532.40666666667,120300.16666666667
6,66014.57333333333,120300.16666666667
7,46371.90833333333,127805.16666666667
8,91088.88500000001,216690.10000000003
9,60655.034999999996,243210.63333333324
10,73719.02166666667,243210.63333333324
